,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Bredasdorp,52,ZA,1559783433,87,-34.53,20.04,51.8,8.05
1,Torbay,40,CA,1559783675,57,47.66,-52.73,53.01,17.22
2,Rikitea,100,PF,1559783448,84,-23.12,-134.97,76.91,13.04
3,Thompson,75,CA,1559783505,72,55.74,-97.86,59.0,5.82
4,Megion,0,RU,1559783679,59,61.04,76.11,60.8,8.95
5,Bethel,1,US,1559783435,58,60.79,-161.76,62.6,14.99
6,Dukat,74,RS,1559783647,93,42.44,22.31,57.99,4.29
7,Isangel,90,VU,1559783682,88,-19.55,169.27,77.0,11.41
8,Ushuaia,0,AR,1559783474,70,-54.81,-68.31,42.8,5.82
9,Bathsheba,20,BB,1559783684,74,13.22,-59.52,82.4,16.11
10,Busselton,100,AU,1559783463,15,-33.64,115.35,66.99,37.92
11,Butaritari,46,KI,1559783445,79,3.07,172.79,85.19,16.24
12,Tuktoyaktuk,40,CA,1559783530,50,69.44,-133.03,53.6,12.75
13,Katsuura,40,JP,1559783688,65,33.93,134.5,78.8,9.17
14,Chuy,96,UY,1559783689,72,-33.69,-53.46,64.49,18.12
15,Mataura,87,NZ,1559783467,80,-46.19,168.86,47.39,9.91
16,Ilulissat,0,GL,1559783692,45,69.22,-51.1,46.4,2.24
17,Udachnyy,0,RU,1559783399,62,66.42,112.4,59.0,4.47
18,Ust-Kuyga,0,RU,1559783694,37,70.0,135.55,49.55,13.11
19,Castro,75,CL,1559783577,87,-42.48,-73.76,48.2,11.41
20,Richards Bay,54,ZA,1559783696,72,-28.77,32.06,73.13,17.05
21,Ust-Maya,69,RU,1559783697,44,60.42,134.54,73.49,5.5
22,San Carlos de Bariloche,90,AR,1559783698,93,-41.13,-71.31,41.0,14.99
23,Upernavik,100,GL,1559783575,73,72.79,-56.15,40.91,2.33
24,Bintulu,75,MY,1559783556,94,3.17,113.03,78.8,3.36
25,Ostrovnoy,0,RU,1559783470,83,68.05,39.51,38.75,4.36
26,Whyalla,0,AU,1559783703,71,-33.04,137.58,51.8,11.41
27,Palmer,40,US,1559783704,59,61.6,-149.11,69.01,13.87
28,Puerto Rico,0,PY,1559783705,82,-26.82,-55.03,55.49,3.96
29,Chaman,0,AF,1559783706,22,30.92,66.46,74.75,3.96
30,Vaini,75,IN,1559783426,94,15.34,74.49,75.2,17.22
31,Avarua,4,CK,1559783519,69,-21.21,-159.78,77.0,16.11
32,Hobart,75,AU,1559783453,54,-42.88,147.33,60.01,5.82
33,Punta Arenas,20,CL,1559783507,80,-53.16,-70.91,39.2,11.41
34,Kimbe,100,PG,1559783712,62,-5.56,150.15,86.45,6.76
35,Nikolskoye,0,RU,1559783427,77,59.7,30.79,59.0,2.24
36,Padang,20,ID,1559783714,94,-0.92,100.36,77.0,3.36
37,Kavieng,73,PG,1559783523,73,-2.57,150.8,85.19,8.48
38,Arraial do Cabo,96,BR,1559783478,66,-22.97,-42.02,71.51,7.96
39,Hithadhoo,46,MV,1559783457,79,-0.6,73.08,83.93,12.5
40,Kapaa,20,US,1559783528,65,22.08,-159.32,82.4,13.87
41,Saurimo,23,AO,1559783719,53,-9.66,20.4,57.83,4.45
42,Magistralnyy,0,RU,1559783721,65,56.17,107.45,53.69,1.28
43,Port Hedland,0,AU,1559783541,20,-20.31,118.58,66.2,23.04
44,Pisco,90,PE,1559783723,30,-13.71,-76.2,71.6,11.41
45,Albany,90,US,1559783257,88,42.65,-73.75,69.8,3.96
46,Yellowknife,75,CA,1559783454,43,62.45,-114.38,51.8,14.99
47,Chokurdakh,0,RU,1559783431,42,70.62,147.9,42.17,6.08
48,Bluff,100,AU,1559783555,48,-23.58,149.07,62.69,19.13
49,Ahuimanu,75,US,1559783728,65,21.44,-157.84,87.8,11.41
50,Tiksi,0,RU,1559783582,73,71.64,128.87,33.17,8.52
51,Nemuro,75,JP,1559783730,87,43.32,145.57,51.8,6.93
52,Dourados,0,BR,1559783731,90,-22.22,-54.81,55.85,6.31
53,Nan,20,TH,1559783733,83,18.78,100.78,82.4,1.12
54,Carnarvon,41,ZA,1559783523,70,-30.97,22.13,41.63,8.25
55,Pitimbu,20,BR,1559783623,88,-7.47,-34.81,75.2,6.93
56,Lompoc,90,US,1559783183,87,34.64,-120.46,73.0,5.82
57,Pevek,0,RU,1559783604,82,69.7,170.27,33.71,3.83
58,Ampanihy,0,MG,1559783738,68,-24.69,44.75,68.45,5.99
59,Barrow,100,AR,1559783574,87,-38.31,-60.23,55.31,8.1
60,Talnakh,0,RU,1559783518,80,69.49,88.39,41.0,13.42
61,North Bend,75,US,1559783741,87,43.41,-124.22,60.01,10.29
62,Mandera,51,ET,1559783743,69,3.94,41.86,77.99,12.35
63,Saskylakh,0,RU,1559783515,42,71.97,114.09,45.95,8.34
64,Tulun,4,RU,1559783745,77,54.56,100.58,54.59,3.69
65,Sambava,7,MG,1559783746,97,-14.27,50.17,64.13,4.25
66,Hilo,90,US,1559783536,83,19.71,-155.08,78.01,4.7
67,East London,100,ZA,1559783499,67,-33.02,27.91,49.91,3.6
68,Jizan,20,SA,1559783749,70,16.89,42.56,91.4,4.7
69,Teeli,30,RU,1559783750,42,51.01,90.2,54.77,2.77
70,Umm Lajj,1,SA,1559783752,70,25.02,37.27,87.35,17.9
71,Natal,20,BR,1559783753,78,-5.81,-35.21,77.0,5.82
72,Pangnirtung,99,CA,1559783757,34,66.15,-65.72,49.55,3.09
73,Hermanus,54,ZA,1559783578,90,-34.42,19.24,51.01,21.0
74,Dingle,92,PH,1559783759,62,11.0,122.67,85.01,10.16
75,Tazmalt,0,DZ,1559783760,87,36.39,4.4,59.0,2.24
76,Mumford,37,GH,1559783761,94,5.26,-0.76,74.93,3.94
77,Sitka,49,US,1559783642,33,37.17,-99.65,84.29,5.06
78,Fillan,0,NO,1559783764,76,63.6,8.98,57.0,5.82
79,Saldanha,13,PT,1559783461,74,41.42,-6.55,45.59,2.89
80,Dikson,0,RU,1559783544,91,73.51,80.55,31.19,2.44
81,Nagorsk,90,RU,1559783767,96,59.32,50.8,57.29,6.53
82,Atuona,26,PF,1559783477,76,-9.8,-139.03,82.49,18.68
83,Port Alfred,56,ZA,1559783442,80,-33.59,26.89,55.99,5.01
84,Kodiak,1,US,1559783770,26,39.95,-94.76,87.8,4.7
85,Salalah,40,OM,1559783771,79,17.01,54.1,86.0,5.82
86,Zabol,0,IR,1559783772,36,31.03,61.49,80.6,16.11
87,Pangkalanbuun,60,ID,1559783774,88,-2.68,111.62,78.89,1.81
88,Nome,90,US,1559783448,88,30.04,-94.42,77.0,14.99
89,Kavaratti,100,IN,1559783776,75,10.57,72.64,84.65,13.6
90,Cidreira,9,BR,1559783472,77,-30.17,-50.22,64.85,14.16
91,Swiecie,0,PL,1559783778,77,53.41,18.45,71.01,10.29
92,Methven,99,NZ,1559783779,54,-43.63,171.65,57.99,8.01
93,Vila Franca do Campo,40,PT,1559783780,82,37.72,-25.43,64.4,21.92
94,Tual,97,ID,1559783782,81,-5.67,132.75,82.31,21.99
95,New Norfolk,75,AU,1559783583,54,-42.78,147.06,60.01,5.82
96,Muroto,0,JP,1559783784,65,33.37,134.14,77.0,5.82
97,Dunabogdany,75,HU,1559783785,100,47.79,19.04,64.0,4.7
98,Hammelburg,13,DE,1559783786,77,50.12,9.9,70.0,11.1
99,Sonoita,1,US,1559783787,12,31.68,-110.66,96.8,14.99
100,Mbabane,0,SZ,1559783788,29,-26.33,31.14,62.6,4.7
101,Batemans Bay,0,AU,1559783790,66,-35.71,150.18,61.0,1.99
102,Le Port,39,FR,1559783600,71,42.87,1.37,52.0,3.0
103,Beringovskiy,96,RU,1559783792,61,63.05,179.32,53.51,8.23
104,Thaton,100,MM,1559783793,73,16.91,97.37,84.47,6.02
105,Longyearbyen,75,NO,1559783487,80,78.22,15.63,35.6,16.11
106,Esperance,100,TT,1559783795,83,10.24,-61.45,81.0,4.7
107,Coquimbo,0,CL,1559783796,87,-29.95,-71.34,59.0,6.93
108,Cape Town,20,ZA,1559783452,76,-33.93,18.42,55.0,4.7
109,Hasaki,75,JP,1559783585,65,35.73,140.83,82.0,3.36
110,Aksarka,100,RU,1559783800,96,66.56,67.8,31.73,13.04
111,Porto Belo,20,BR,1559783801,93,-27.15,-48.54,64.0,4.7
112,Pestretsy,0,RU,1559783802,63,55.75,49.66,60.8,11.18
113,Cap Malheureux,40,MU,1559783803,73,-19.98,57.61,73.4,18.34
114,Pringsewu,59,ID,1559783804,89,-5.36,104.98,74.57,2.37
115,Sayat,75,TM,1559783806,47,38.78,63.88,78.8,6.93
116,Gorom-Gorom,30,BF,1559783807,21,14.45,-0.24,99.59,7.0
